"GlobalElementId","PedigreeElementId","ObjectId","Area","vtkValidPointMask","Time"
3.0223e+05,3.0223e+05,387.56,387.56,1,0.1
3.0224e+05,3.0224e+05,387.56,387.56,1,0.2
3.0224e+05,3.0224e+05,387.57,387.57,1,0.3
3.0225e+05,3.0225e+05,387.58,387.58,1,0.4
3.0227e+05,3.0227e+05,387.61,387.61,1,0.5
3.0229e+05,3.0229e+05,387.63,387.63,1,0.6
3.0232e+05,3.0232e+05,387.66,387.66,1,0.7
3.0234e+05,3.0234e+05,387.7,387.7,1,0.8
3.0237e+05,3.0237e+05,387.74,387.74,1,0.9
3.024e+05,3.024e+05,387.77,387.77,1,1
3.0242e+05,3.0242e+05,387.8,387.8,1,1.1
3.0244e+05,3.0244e+05,387.82,387.82,1,1.2
3.0245e+05,3.0245e+05,387.83,387.83,1,1.3
3.0245e+05,3.0245e+05,387.83,387.83,1,1.4
3.0244e+05,3.0244e+05,387.82,387.82,1,1.5
3.0242e+05,3.0242e+05,387.8,387.8,1,1.6
3.024e+05,3.024e+05,387.76,387.76,1,1.7
3.0237e+05,3.0237e+05,387.73,387.73,1,1.8
3.0234e+05,3.0234e+05,387.7,387.7,1,1.9
3.0232e+05,3.0232e+05,387.67,387.67,1,2
3.0231e+05,3.0231e+05,387.66,387.66,1,2.1
3.0231e+05,3.0231e+05,387.65,387.65,1,2.2
3.0231e+05,3.0231e+05,387.66,387.66,1,2.3
3.0233e+05,3.0233e+05,387.68,387.68,1,2.4
3.0235e+05,3.0235e+05,387.7,387.7,1,2.5
3.0237e+05,3.0237e+05,387.73,387.73,1,2.6
3.024e+05,3.024e+05,387.77,387.77,1,2.7
3.0242e+05,3.0242e+05,387.79,387.79,1,2.8
3.0243e+05,3.0243e+05,387.81,387.81,1,2.9
3.0244e+05,3.0244e+05,387.82,387.82,1,3
3.0243e+05,3.0243e+05,387.81,387.81,1,3.1
3.0242e+05,3.0242e+05,387.8,387.8,1,3.2
3.024e+05,3.024e+05,387.77,387.77,1,3.3
3.0237e+05,3.0237e+05,387.74,387.74,1,3.4
3.0235e+05,3.0235e+05,387.7,387.7,1,3.5
3.0232e+05,3.0232e+05,387.67,387.67,1,3.6
3.023e+05,3.023e+05,387.64,387.64,1,3.7
3.0229e+05,3.0229e+05,387.63,387.63,1,3.8
3.0229e+05,3.0229e+05,387.62,387.62,1,3.9
3.0229e+05,3.0229e+05,387.63,387.63,1,4
3.0231e+05,3.0231e+05,387.65,387.65,1,4.1
3.0233e+05,3.0233e+05,387.68,387.68,1,4.2
3.0235e+05,3.0235e+05,387.71,387.71,1,4.3
3.0237e+05,3.0237e+05,387.74,387.74,1,4.4
3.0239e+05,3.0239e+05,387.76,387.76,1,4.5
3.024e+05,3.024e+05,387.77,387.77,1,4.6
3.0241e+05,3.0241e+05,387.78,387.78,1,4.7
3.024e+05,3.024e+05,387.77,387.77,1,4.8
3.0238e+05,3.0238e+05,387.75,387.75,1,4.9
3.0236e+05,3.0236e+05,387.72,387.72,1,5
3.0233e+05,3.0233e+05,387.68,387.68,1,5.1
3.023e+05,3.023e+05,387.65,387.65,1,5.2
3.0228e+05,3.0228e+05,387.62,387.62,1,5.3
3.0226e+05,3.0226e+05,387.59,387.59,1,5.4
3.0225e+05,3.0225e+05,387.58,387.58,1,5.5
3.0225e+05,3.0225e+05,387.57,387.57,1,5.6
3.0225e+05,3.0225e+05,387.58,387.58,1,5.7
3.0227e+05,3.0227e+05,387.6,387.6,1,5.8
3.0229e+05,3.0229e+05,387.63,387.63,1,5.9
3.0231e+05,3.0231e+05,387.66,387.66,1,6
3.0233e+05,3.0233e+05,387.68,387.68,1,6.1
3.0235e+05,3.0235e+05,387.7,387.7,1,6.2
3.0235e+05,3.0235e+05,387.71,387.71,1,6.3
3.0235e+05,3.0235e+05,387.71,387.71,1,6.4
3.0235e+05,3.0235e+05,387.7,387.7,1,6.5
3.0233e+05,3.0233e+05,387.68,387.68,1,6.6
3.023e+05,3.023e+05,387.64,387.64,1,6.7
3.0227e+05,3.0227e+05,387.61,387.61,1,6.8
3.0224e+05,3.0224e+05,387.57,387.57,1,6.9
3.0222e+05,3.0222e+05,387.54,387.54,1,7
3.022e+05,3.022e+05,387.51,387.51,1,7.1
3.0219e+05,3.0219e+05,387.5,387.5,1,7.2
3.0219e+05,3.0219e+05,387.5,387.5,1,7.3
3.0219e+05,3.0219e+05,387.51,387.51,1,7.4
3.0221e+05,3.0221e+05,387.53,387.53,1,7.5
3.0223e+05,3.0223e+05,387.55,387.55,1,7.6
3.0225e+05,3.0225e+05,387.58,387.58,1,7.7
3.0227e+05,3.0227e+05,387.6,387.6,1,7.8
3.0228e+05,3.0228e+05,387.62,387.62,1,7.9
3.0229e+05,3.0229e+05,387.62,387.62,1,8
3.0228e+05,3.0228e+05,387.62,387.62,1,8.1
3.0227e+05,3.0227e+05,387.6,387.6,1,8.2
3.0224e+05,3.0224e+05,387.57,387.57,1,8.3
3.0222e+05,3.0222e+05,387.54,387.54,1,8.4
3.0219e+05,3.0219e+05,387.5,387.5,1,8.5
3.0216e+05,3.0216e+05,387.46,387.46,1,8.6
3.0213e+05,3.0213e+05,387.43,387.43,1,8.7
3.0211e+05,3.0211e+05,387.41,387.41,1,8.8
3.021e+05,3.021e+05,387.39,387.39,1,8.9
3.0211e+05,3.0211e+05,387.39,387.39,1,9
3.0212e+05,3.0212e+05,387.41,387.41,1,9.1
3.0213e+05,3.0213e+05,387.42,387.42,1,9.2
3.0215e+05,3.0215e+05,387.45,387.45,1,9.3
3.0217e+05,3.0217e+05,387.47,387.47,1,9.4
3.0218e+05,3.0218e+05,387.49,387.49,1,9.5
3.0219e+05,3.0219e+05,387.5,387.5,1,9.6
3.0219e+05,3.0219e+05,387.5,387.5,1,9.7
3.0218e+05,3.0218e+05,387.49,387.49,1,9.8
3.0216e+05,3.0216e+05,387.46,387.46,1,9.9
3.0213e+05,3.0213e+05,387.43,387.43,1,10
3.021e+05,3.021e+05,387.39,387.39,1,10.1
3.0207e+05,3.0207e+05,387.35,387.35,1,10.2
3.0204e+05,3.0204e+05,387.31,387.31,1,10.3
3.0202e+05,3.0202e+05,387.28,387.28,1,10.4
3.02e+05,3.02e+05,387.26,387.26,1,10.5
3.0199e+05,3.0199e+05,387.25,387.25,1,10.6
3.0199e+05,3.0199e+05,387.25,387.25,1,10.7
3.02e+05,3.02e+05,387.26,387.26,1,10.8
3.0202e+05,3.0202e+05,387.28,387.28,1,10.9
3.0203e+05,3.0203e+05,387.3,387.3,1,11
3.0205e+05,3.0205e+05,387.32,387.32,1,11.1
3.0206e+05,3.0206e+05,387.34,387.34,1,11.2
3.0206e+05,3.0206e+05,387.34,387.34,1,11.3
3.0206e+05,3.0206e+05,387.34,387.34,1,11.4
3.0205e+05,3.0205e+05,387.32,387.32,1,11.5
3.0203e+05,3.0203e+05,387.3,387.3,1,11.6
3.02e+05,3.02e+05,387.27,387.27,1,11.7
3.0198e+05,3.0198e+05,387.24,387.24,1,11.8
3.0196e+05,3.0196e+05,387.21,387.21,1,11.9
3.0194e+05,3.0194e+05,387.18,387.18,1,12
3.0192e+05,3.0192e+05,387.16,387.16,1,12.1
3.0192e+05,3.0192e+05,387.15,387.15,1,12.2
3.0191e+05,3.0191e+05,387.16,387.16,1,12.3
3.0192e+05,3.0192e+05,387.17,387.17,1,12.4
3.0193e+05,3.0193e+05,387.2,387.2,1,12.5
3.0194e+05,3.0194e+05,387.22,387.22,1,12.6
3.0195e+05,3.0195e+05,387.24,387.24,1,12.7
3.0195e+05,3.0195e+05,387.25,387.25,1,12.8
3.0196e+05,3.0196e+05,387.26,387.26,1,12.9
3.0195e+05,3.0195e+05,387.25,387.25,1,13
3.0194e+05,3.0194e+05,387.23,387.23,1,13.1
3.0192e+05,3.0192e+05,387.21,387.21,1,13.2
3.019e+05,3.019e+05,387.17,387.17,1,13.3
3.0187e+05,3.0187e+05,387.13,387.13,1,13.4
3.0186e+05,3.0186e+05,387.09,387.09,1,13.5
3.0184e+05,3.0184e+05,387.07,387.07,1,13.6
3.0184e+05,3.0184e+05,387.06,387.06,1,13.7
3.0184e+05,3.0184e+05,387.06,387.06,1,13.8
3.0184e+05,3.0184e+05,387.07,387.07,1,13.9
3.0186e+05,3.0186e+05,387.09,387.09,1,14
