"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","Gradients:0","Gradients:1","Gradients:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.00000e+00,0.00000e+00,0.00000e+00,5.96045e-05,-6.23848e-05,2.66767e-11,1.10449e-02,-2.56692e-13,1.10449e-02,-8.90551e-17,1.10449e-02,1.00000e-01,399,-1.00000e-01,1.10449e-02,0.00000e+00,0.00000e+00,1,1.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.02418e-04,-3.85484e-04,1.01448e-08,2.20898e-02,-1.95171e-10,2.20898e-02,-1.90015e-16,2.20898e-02,2.00000e-01,399,-2.00000e-01,2.20898e-02,0.00000e+00,0.00000e+00,1,2.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-8.46395e-06,-1.10611e-03,7.75439e-08,3.31347e-02,-2.23774e-09,3.31347e-02,-2.79892e-16,3.31347e-02,3.00000e-01,399,-3.00000e-01,3.31347e-02,0.00000e+00,0.00000e+00,1,3.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-4.42745e-04,-2.39388e-03,2.30116e-07,4.41798e-02,-8.85417e-09,4.41798e-02,-3.67412e-16,4.41798e-02,4.00000e-01,399,-4.00000e-01,4.41798e-02,0.00000e+00,0.00000e+00,1,4.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-1.12869e-03,-4.17709e-03,4.84521e-07,5.52249e-02,-2.33038e-08,5.52249e-02,-4.90347e-16,5.52249e-02,5.00000e-01,399,-5.00000e-01,5.52249e-02,0.00000e+00,0.00000e+00,1,5.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-1.87408e-03,-6.26360e-03,8.34585e-07,6.62703e-02,-4.81690e-08,6.62703e-02,-5.54035e-16,6.62703e-02,6.00000e-01,399,-6.00000e-01,6.62703e-02,0.00000e+00,0.00000e+00,1,6.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-2.53679e-03,-8.51135e-03,1.28629e-06,7.73160e-02,-8.66135e-08,7.73159e-02,-6.67831e-16,7.73159e-02,7.00000e-01,399,-7.00000e-01,7.73159e-02,0.00000e+00,0.00000e+00,1,7.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-3.13508e-03,-1.09386e-02,1.86816e-06,8.83621e-02,-1.43767e-07,8.83620e-02,-7.17505e-16,8.83620e-02,8.00000e-01,399,-8.00000e-01,8.83620e-02,0.00000e+00,0.00000e+00,1,8.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-3.80342e-03,-1.36798e-02,2.64080e-06,9.94088e-02,-2.28633e-07,9.94085e-02,-7.88011e-16,9.94085e-02,9.00000e-01,399,-9.00000e-01,9.94085e-02,0.00000e+00,0.00000e+00,1,9.00000e-01,-1.00000e+01,2.50000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-4.74812e-03,-1.69412e-02,3.65536e-06,1.10456e-01,-3.51640e-07,1.10456e-01,-9.11976e-16,1.10456e-01,1.00000e+00,399,-1.00000e+00,1.10456e-01,0.00000e+00,0.00000e+00,1,1.00000e+00,-1.00000e+01,2.50000e-01,0.00000e+00
