"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","Gradients:0","Gradients:1","Gradients:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
2.78943e-02,-2.74825e-03,0.00000e+00,5.48558e-01,4.22775e-01,-1.42296e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,1.00000e+00,-2.65142e+00,8.26399e-02,0.00000e+00
4.87258e-02,-2.62881e-03,0.00000e+00,1.04753e+00,8.91626e-01,-1.49097e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.00000e+00,-2.63059e+00,8.27594e-02,0.00000e+00
6.57928e-02,-2.17331e-03,0.00000e+00,1.56339e+00,1.38931e+00,-1.70472e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.00000e+00,-2.61353e+00,8.32148e-02,0.00000e+00
8.67015e-02,-3.36569e-03,0.00000e+00,2.07480e+00,1.85855e+00,-2.02528e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.00000e+00,-2.59262e+00,8.20225e-02,0.00000e+00
1.02232e-01,-4.84520e-03,0.00000e+00,2.53136e+00,2.27527e+00,-2.10833e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,5.00000e+00,-2.57709e+00,8.05430e-02,0.00000e+00
1.27078e-01,-6.13883e-03,0.00000e+00,3.28425e+00,2.97833e+00,-2.28454e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,6.00000e+00,-2.55224e+00,7.92493e-02,0.00000e+00
1.39834e-01,-6.85199e-03,0.00000e+00,3.81761e+00,3.49258e+00,-2.17500e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,7.00000e+00,-2.53949e+00,7.85362e-02,0.00000e+00
1.69932e-01,-7.91008e-03,0.00000e+00,4.43879e+00,4.06078e+00,-2.21294e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,8.00000e+00,-2.50939e+00,7.74781e-02,0.00000e+00
1.81531e-01,-8.04493e-03,0.00000e+00,5.09047e+00,4.68569e+00,-2.37158e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,9.00000e+00,-2.49779e+00,7.73432e-02,0.00000e+00
2.14199e-01,-8.49569e-03,0.00000e+00,5.82960e+00,5.35419e+00,-2.68837e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1424,-0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,1.00000e+01,-2.46512e+00,7.68925e-02,0.00000e+00
2.07712e-01,-8.72519e-03,0.00000e+00,5.68144e+00,5.18406e+00,-2.65848e-02,1.39418e-01,-2.64144e-03,1.71212e-01,-5.55167e-03,1.71466e-01,1.28778e-01,1424,-1.28778e-01,1.53816e-01,-3.38082e-03,0.00000e+00,1,1.10000e+01,-2.47161e+00,7.66630e-02,0.00000e+00
