"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","Gradients:0","Gradients:1","Gradients:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,2.2204e-16,2.2204e-16,-1.5035e-19,0,0,0,0,0,0,399,-0,0,0,0,1,0.1,-10,0.25,0
0,0,0,1.5409e-07,1.5353e-07,-4.9122e-11,0,0,0,0,0,0,399,-0,0,0,0,1,0.2,-10,0.25,0
0,0,0,0.0019097,0.0019028,-3.2664e-07,0,0,0,0,0,0,399,-0,0,0,0,1,0.3,-10,0.25,0
0,0,0,0.047253,0.047079,-1.109e-05,0,0,0,0,0,0,399,-0,0,0,0,1,0.4,-10,0.25,0
0,0,0,0.092639,0.092276,-4.3881e-05,0,0,0,0,0,0,399,-0,0,0,0,1,0.5,-10,0.25,0
0,0,0,0.13935,0.13877,-9.5028e-05,0,0,0,0,0,0,399,-0,0,0,0,1,0.6,-10,0.25,0
0,0,0,0.19852,0.19768,-0.00016437,0,0,0,0,0,0,399,-0,0,0,0,1,0.7,-10,0.25,0
0,0,0,0.26825,0.26708,-0.00024566,0,0,0,0,0,0,399,-0,0,0,0,1,0.8,-10,0.25,0
0,0,0,0.37788,0.37634,-0.00024739,0,0,0,0,0,0,399,-0,0,0,0,1,0.9,-10,0.25,0
0,0,0,0.48724,0.48531,-0.00025032,0,0,0,0,0,0,399,-0,0,0,0,1,1,-10,0.25,0
0,0,0,0.57946,0.57719,-0.00027856,0,0,0,0,0,0,399,-0,0,0,0,1,1.1,-10,0.25,0
0,0,0,0.65109,0.64854,-0.00032131,0,0,0,0,0,0,399,-0,0,0,0,1,1.2,-10,0.25,0
0,0,0,0.74216,0.7393,-0.00031933,0,0,0,0,0,0,399,-0,0,0,0,1,1.3,-10,0.25,0
0,0,0,0.83293,0.82976,-0.000296,0,0,0,0,0,0,399,-0,0,0,0,1,1.4,-10,0.25,0
0,0,0,0.86758,0.8643,-0.00027896,0,0,0,0,0,0,399,-0,0,0,0,1,1.5,-10,0.25,0
0,0,0,0.92171,0.91827,-0.00027268,0,0,0,0,0,0,399,-0,0,0,0,1,1.6,-10,0.25,0
0,0,0,0.95089,0.94743,-0.00019147,0,0,0,0,0,0,399,-0,0,0,0,1,1.7,-10,0.25,0
0,0,0,1.0032,0.99963,-0.00013985,0,0,0,0,0,0,399,-0,0,0,0,1,1.8,-10,0.25,0
0,0,0,0.98122,0.97772,-0.00013675,0,0,0,0,0,0,399,-0,0,0,0,1,1.9,-10,0.25,0
0,0,0,0.98115,0.97762,-0.00016978,1.4643e-16,2.1649e-20,1.4665e-16,-9.9781e-31,1.4665e-16,1.3323e-15,399,-1.3323e-15,1.4643e-16,5.4935e-35,0,1,2,-10,0.25,0
0,0,0,0.96838,0.96481,-0.00011612,0.01099,1.1113e-06,0.011007,-7.9238e-17,0.011007,0.1,399,-0.1,0.01099,1.029e-21,0,1,2.1,-10,0.25,0
