"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,0.039057,-0.00032167,0,4,1,1,-10,0.2,0
0,0,0,0.065909,0.020039,0,4,1,2,-10,0.2,0
0,0,0,0.06772,0.018666,0,4,1,3,-10,0.2,0
0,0,0,0.057967,0.003685,0,4,1,4,-10,0.2,0
0,0,0,0.042034,-0.020104,0,4,1,5,-10,0.2,0
0,0,0,0.036399,-0.027776,0,4,1,6,-10,0.2,0
0,0,0,0.039004,-0.01959,0,4,1,7,-10,0.2,0
0,0,0,0.067725,0.0072714,0,4,1,8,-10,0.2,0
0,0,0,0.075482,0.013586,0,4,1,9,-10,0.2,0
0,0,0,0.06729,0.014864,0,4,1,10,-10,0.2,0
0,0,0,0.03737,-0.0043341,0,4,1,11,-10,0.2,0
0,0,0,0.022833,-0.014419,0,4,1,12,-10,0.2,0
0,0,0,0.02846,-0.013363,0,4,1,13,-10,0.2,0
0,0,0,0.046667,0.012863,0,4,1,14,-10,0.2,0
0,0,0,0.058157,0.025724,0,4,1,15,-10,0.2,0
0,0,0,0.070088,0.027899,0,4,1,16,-10,0.2,0
0,0,0,0.048639,0.006086,0,4,1,17,-10,0.2,0
0,0,0,0.035872,-0.012349,0,4,1,18,-10,0.2,0
0,0,0,0.027418,-0.022348,0,4,1,19,-10,0.2,0
0,0,0,0.047286,-0.012459,0,4,1,20,-10,0.2,0
0,0,0,0.070752,0.0060285,0,4,1,21,-10,0.2,0
0,0,0,0.084297,0.019466,0,4,1,22,-10,0.2,0
0,0,0,0.064472,0.0054174,0,4,1,23,-10,0.2,0
0,0,0,0.056842,-0.010189,0,4,1,24,-10,0.2,0
0,0,0,0.035228,-0.02463,0,4,1,25,-10,0.2,0
0,0,0,0.040748,-0.010892,0,4,1,26,-10,0.2,0
0,0,0,0.056736,0.0082764,0,4,1,27,-10,0.2,0
0,0,0,0.070069,0.022536,0,4,1,28,-10,0.2,0
