"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,0.10293,0.0020352,0,4,1,0.1,-10,0.2,0
0,0,0,0.12556,0.012634,0,4,1,0.2,-10,0.2,0
0,0,0,0.033076,-0.018691,0,4,1,0.3,-10,0.2,0
0,0,0,0.15497,0.023893,0,4,1,0.4,-10,0.2,0
0,0,0,0.056803,-0.011111,0,4,1,0.5,-10,0.2,0
0,0,0,0.088621,-0.0043062,0,4,1,0.6,-10,0.2,0
0,0,0,0.13659,0.023288,0,4,1,0.7,-10,0.2,0
0,0,0,0.032805,-0.028338,0,4,1,0.8,-10,0.2,0
0,0,0,0.14775,0.018218,0,4,1,0.9,-10,0.2,0
0,0,0,0.074275,-0.00070475,0,4,1,1,-10,0.2,0
0,0,0,0.076834,-0.016219,0,4,1,1.1,-10,0.2,0
0,0,0,0.13623,0.029265,0,4,1,1.2,-10,0.2,0
0,0,0,0.047639,-0.018295,0,4,1,1.3,-10,0.2,0
0,0,0,0.11775,0.0025299,0,4,1,1.4,-10,0.2,0
0,0,0,0.1035,0.022996,0,4,1,1.5,-10,0.2,0
0,0,0,0.054776,-0.031568,0,4,1,1.6,-10,0.2,0
0,0,0,0.14008,0.026615,0,4,1,1.7,-10,0.2,0
0,0,0,0.067243,-0.0061593,0,4,1,1.8,-10,0.2,0
0,0,0,0.094501,-0.021137,0,4,1,1.9,-10,0.2,0
0,0,0,0.12583,0.038358,0,4,1,2,-10,0.2,0
0,0,0,0.047014,-0.033183,0,4,1,2.1,-10,0.2,0
0,0,0,0.13428,0.017632,0,4,1,2.2,-10,0.2,0
0,0,0,0.079032,0.014309,0,4,1,2.3,-10,0.2,0
0,0,0,0.073536,-0.033186,0,4,1,2.4,-10,0.2,0
0,0,0,0.13702,0.044819,0,4,1,2.5,-10,0.2,0
0,0,0,0.048354,-0.030129,0,4,1,2.6,-10,0.2,0
0,0,0,0.12736,0.0014118,0,4,1,2.7,-10,0.2,0
0,0,0,0.093885,0.025872,0,4,1,2.8,-10,0.2,0
0,0,0,0.07125,-0.040798,0,4,1,2.9,-10,0.2,0
0,0,0,0.13003,0.036585,0,4,1,3,-10,0.2,0
0,0,0,0.06702,-0.0097998,0,4,1,3.1,-10,0.2,0
0,0,0,0.090397,-0.021512,0,4,1,3.2,-10,0.2,0
0,0,0,0.11974,0.04986,0,4,1,3.3,-10,0.2,0
0,0,0,0.053235,-0.046312,0,4,1,3.4,-10,0.2,0
0,0,0,0.13209,0.028081,0,4,1,3.5,-10,0.2,0
0,0,0,0.079865,0.0045192,0,4,1,3.6,-10,0.2,0
0,0,0,0.08744,-0.037144,0,4,1,3.7,-10,0.2,0
0,0,0,0.12178,0.051923,0,4,1,3.8,-10,0.2,0
0,0,0,0.067294,-0.041554,0,4,1,3.9,-10,0.2,0
0,0,0,0.11165,0.0090302,0,4,1,4,-10,0.2,0
0,0,0,0.095116,0.037241,0,4,1,4.1,-10,0.2,0
0,0,0,0.071352,-0.057282,0,4,1,4.2,-10,0.2,0
0,0,0,0.12229,0.059328,0,4,1,4.3,-10,0.2,0
0,0,0,0.072837,-0.027143,0,4,1,4.4,-10,0.2,0
0,0,0,0.10078,-0.01623,0,4,1,4.5,-10,0.2,0
0,0,0,0.10692,0.04986,0,4,1,4.6,-10,0.2,0
0,0,0,0.070373,-0.063894,0,4,1,4.7,-10,0.2,0
0,0,0,0.11855,0.038706,0,4,1,4.8,-10,0.2,0
0,0,0,0.088165,0.0027948,0,4,1,4.9,-10,0.2,0
0,0,0,0.08062,-0.036898,0,4,1,5,-10,0.2,0
0,0,0,0.11695,0.063288,0,4,1,5.1,-10,0.2,0
0,0,0,0.070436,-0.04866,0,4,1,5.2,-10,0.2,0
0,0,0,0.10273,0.016217,0,4,1,5.3,-10,0.2,0
0,0,0,0.10743,0.028093,0,4,1,5.4,-10,0.2,0
0,0,0,0.068062,-0.05603,0,4,1,5.5,-10,0.2,0
0,0,0,0.13053,0.056383,0,4,1,5.6,-10,0.2,0
0,0,0,0.074797,-0.036045,0,4,1,5.7,-10,0.2,0
0,0,0,0.096234,-0.002106,0,4,1,5.8,-10,0.2,0
0,0,0,0.10941,0.041904,0,4,1,5.9,-10,0.2,0
0,0,0,0.069099,-0.053297,0,4,1,6,-10,0.2,0
0,0,0,0.10943,0.046405,0,4,1,6.1,-10,0.2,0
0,0,0,0.093696,-0.010317,0,4,1,6.2,-10,0.2,0
0,0,0,0.075991,-0.023496,0,4,1,6.3,-10,0.2,0
0,0,0,0.12597,0.050348,0,4,1,6.4,-10,0.2,0
0,0,0,0.077683,-0.053004,0,4,1,6.5,-10,0.2,0
0,0,0,0.093602,0.022715,0,4,1,6.6,-10,0.2,0
0,0,0,0.12441,0.017765,0,4,1,6.7,-10,0.2,0
0,0,0,0.050985,-0.045899,0,4,1,6.8,-10,0.2,0
0,0,0,0.13408,0.060426,0,4,1,6.9,-10,0.2,0
0,0,0,0.072368,-0.039566,0,4,1,7,-10,0.2,0
0,0,0,0.086488,0.011792,0,4,1,7.1,-10,0.2,0
0,0,0,0.12493,0.02953,0,4,1,7.2,-10,0.2,0
0,0,0,0.060981,-0.052514,0,4,1,7.3,-10,0.2,0
0,0,0,0.1226,0.047097,0,4,1,7.4,-10,0.2,0
0,0,0,0.094598,-0.023684,0,4,1,7.5,-10,0.2,0
0,0,0,0.077956,-0.011951,0,4,1,7.6,-10,0.2,0
0,0,0,0.12235,0.040598,0,4,1,7.7,-10,0.2,0
0,0,0,0.081948,-0.038196,0,4,1,7.8,-10,0.2,0
0,0,0,0.083983,0.027217,0,4,1,7.9,-10,0.2,0
0,0,0,0.12914,0.011628,0,4,1,8,-10,0.2,0
0,0,0,0.040161,-0.035797,0,4,1,8.1,-10,0.2,0
0,0,0,0.14606,0.047575,0,4,1,8.2,-10,0.2,0
0,0,0,0.078539,-0.03707,0,4,1,8.3,-10,0.2,0
0,0,0,0.080795,0.011632,0,4,1,8.4,-10,0.2,0
0,0,0,0.14244,0.015073,0,4,1,8.5,-10,0.2,0
0,0,0,0.045697,-0.032952,0,4,1,8.6,-10,0.2,0
0,0,0,0.12587,0.035525,0,4,1,8.7,-10,0.2,0
0,0,0,0.097654,-0.013809,0,4,1,8.8,-10,0.2,0
0,0,0,0.055971,-0.0016471,0,4,1,8.9,-10,0.2,0
0,0,0,0.1473,0.025632,0,4,1,9,-10,0.2,0
0,0,0,0.059789,-0.028952,0,4,1,9.1,-10,0.2,0
0,0,0,0.10344,0.02297,0,4,1,9.2,-10,0.2,0
0,0,0,0.13287,-0.0025657,0,4,1,9.3,-10,0.2,0
