"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,6.2024e-06,-1.7391e-06,0,1,1,1,-10,2.24e-12,0
0,0,0,2.4704e-05,-6.9737e-06,0,1,1,2,-10,2.24e-12,0
0,0,0,5.5192e-05,-1.5881e-05,0,1,1,3,-10,2.24e-12,0
0,0,0,9.711e-05,-2.8752e-05,0,1,1,4,-10,2.24e-12,0
0,0,0,0.00014961,-4.6032e-05,0,1,1,5,-10,2.24e-12,0
0,0,0,0.00021145,-6.8371e-05,0,1,1,6,-10,2.24e-12,0
0,0,0,0.00028089,-9.6694e-05,0,1,1,7,-10,2.24e-12,0
0,0,0,0.00035543,-0.00013232,0,1,1,8,-10,2.24e-12,0
0,0,0,0.00043145,-0.00017718,0,1,1,9,-10,2.24e-12,0
0,0,0,0.00050362,-0.0002341,0,1,1,10,-10,2.24e-12,0
0,0,0,0.00056386,-0.00030745,0,1,1,11,-10,2.24e-12,0
0,0,0,0.00059945,-0.00040407,0,1,1,12,-10,2.24e-12,0
0,0,0,0.00058976,-0.0005352,0,1,1,13,-10,2.24e-12,0
0,0,0,0.00050076,-0.00071957,0,1,1,14,-10,2.24e-12,0
0,0,0,0.00027817,-0.0009875,0,1,1,15,-10,2.24e-12,0
0,0,0,-0.00014967,-0.0013802,0,1,1,16,-10,2.24e-12,0
0,0,0,-0.00083028,-0.0019278,0,1,1,17,-10,2.24e-12,0
0,0,0,-0.0017242,-0.002613,0,1,1,18,-10,2.24e-12,0
0,0,0,-0.0027322,-0.0033833,0,1,1,19,-10,2.24e-12,0
0,0,0,-0.0037763,-0.0041947,0,1,1,20,-10,2.24e-12,0
0,0,0,-0.0048188,-0.005025,0,1,1,21,-10,2.24e-12,0
0,0,0,-0.0058464,-0.0058654,0,1,1,22,-10,2.24e-12,0
0,0,0,-0.0068558,-0.0067129,0,1,1,23,-10,2.24e-12,0
0,0,0,-0.0078476,-0.0075671,0,1,1,24,-10,2.24e-12,0
