"Psi","F_Psi","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.0025,0.00125,1,0.25,0,1,0
0.005,0.0025,1,0.5,0,1,0
0.0075,0.00375,1,0.75,0,1,0
0.01,0.0050001,1,1,0,1,0
0.0125,0.0062502,1,1.25,0,1,0
0.015,0.0075005,1,1.5,0,1,0
0.0175,0.0087509,1,1.75,0,1,0
0.02,0.010001,1,2,0,1,0
0.0225,0.011252,1,2.25,0,1,0
0.025,0.012503,1,2.5,0,1,0
0.0275,0.013755,1,2.75,0,1,0
0.03,0.015006,1,3,0,1,0
0.0325,0.016257,1,3.25,0,1,0
0.035,0.017509,1,3.5,0,1,0
0.0375,0.018761,1,3.75,0,1,0
0.04,0.020013,1,4,0,1,0
0.0425,0.021266,1,4.25,0,1,0
0.045,0.022519,1,4.5,0,1,0
0.0475,0.023773,1,4.75,0,1,0
0.05,0.025027,1,5,0,1,0
0.0525,0.026281,1,5.25,0,1,0
0.055,0.027536,1,5.5,0,1,0
0.0575,0.028791,1,5.75,0,1,0
0.06,0.030047,1,6,0,1,0
0.0625,0.031303,1,6.25,0,1,0
0.065,0.032559,1,6.5,0,1,0
0.0675,0.033816,1,6.75,0,1,0
0.07,0.035074,1,7,0,1,0
0.0725,0.036332,1,7.25,0,1,0
0.075,0.037591,1,7.5,0,1,0
0.0775,0.038851,1,7.75,0,1,0
0.08,0.040111,1,8,0,1,0
0.0825,0.041372,1,8.25,0,1,0
0.085,0.042634,1,8.5,0,1,0
0.0875,0.043897,1,8.75,0,1,0
0.09,0.045159,1,9,0,1,0
0.0925,0.046423,1,9.25,0,1,0
0.095,0.047687,1,9.5,0,1,0
0.0975,0.048952,1,9.75,0,1,0
0.1,0.050217,1,10,0,1,0
0.1025,0.051484,1,10.25,0,1,0
0.105,0.052752,1,10.5,0,1,0
0.1075,0.054021,1,10.75,0,1,0
0.11,0.055291,1,11,0,1,0
0.1125,0.056562,1,11.25,0,1,0
0.115,0.057834,1,11.5,0,1,0
0.1175,0.059106,1,11.75,0,1,0
0.12,0.06038,1,12,0,1,0
0.1225,0.061653,1,12.25,0,1,0
0.125,0.062928,1,12.5,0,1,0
0.1275,0.064204,1,12.75,0,1,0
0.13,0.065481,1,13,0,1,0
0.1325,0.06676,1,13.25,0,1,0
0.135,0.06804,1,13.5,0,1,0
0.1375,0.069321,1,13.75,0,1,0
0.14,0.070604,1,14,0,1,0
0.1425,0.071888,1,14.25,0,1,0
0.145,0.073173,1,14.5,0,1,0
0.1475,0.074459,1,14.75,0,1,0
0.15,0.075745,1,15,0,1,0
0.1525,0.077033,1,15.25,0,1,0
0.155,0.078322,1,15.5,0,1,0
0.1575,0.079612,1,15.75,0,1,0
0.16,0.080904,1,16,0,1,0
0.1625,0.082197,1,16.25,0,1,0
0.165,0.083493,1,16.5,0,1,0
0.1675,0.08479,1,16.75,0,1,0
0.17,0.086089,1,17,0,1,0
0.1725,0.087389,1,17.25,0,1,0
0.175,0.08869,1,17.5,0,1,0
0.1775,0.089993,1,17.75,0,1,0
0.18,0.091297,1,18,0,1,0
0.1825,0.092601,1,18.25,0,1,0
0.185,0.093908,1,18.5,0,1,0
0.1875,0.095216,1,18.75,0,1,0
0.19,0.096526,1,19,0,1,0
0.1925,0.097838,1,19.25,0,1,0
0.195,0.099152,1,19.5,0,1,0
0.1975,0.10047,1,19.75,0,1,0
0.2,0.10179,1,20,0,1,0
0.2025,0.10311,1,20.25,0,1,0
0.205,0.10443,1,20.5,0,1,0
0.2075,0.10575,1,20.75,0,1,0
0.21,0.10708,1,21,0,1,0
0.2125,0.1084,1,21.25,0,1,0
