"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,2,1,1,0,1,0
0,0,2,1,2,0,1,0
0,0,2,1,3,0,1,0
0,0,2,1,4,0,1,0
0,0,2,1,5,0,1,0
0,0,2,1,6,0,1,0
0,0,2,1,7,0,1,0
0,0,2,1,8,0,1,0
0,0,2,1,9,0,1,0
0,0,2,1,10,0,1,0
0.01,0.0050764,2,1,11,0,1,0
0.02,0.010151,2,1,12,0,1,0
0.03,0.015223,2,1,13,0,1,0
0.04,0.020305,2,1,14,0,1,0
0.05,0.025382,2,1,15,0,1,0
0.06,0.03045,2,1,16,0,1,0
0.07,0.035534,2,1,17,0,1,0
0.08,0.040618,2,1,18,0,1,0
0.09,0.045683,2,1,19,0,1,0
0.1,0.050768,2,1,20,0,1,0
0.11,0.05586,2,1,21,0,1,0
0.12,0.060925,2,1,22,0,1,0
0.13,0.066009,2,1,23,0,1,0
0.14,0.071112,2,1,24,0,1,0
0.15,0.076179,2,1,25,0,1,0
0.16,0.081258,2,1,26,0,1,0
0.17,0.086375,2,1,27,0,1,0
0.18,0.09145,2,1,28,0,1,0
0.19,0.09652,2,1,29,0,1,0
0.2,0.10165,2,1,30,0,1,0
0.21,0.10674,2,1,31,0,1,0
0.22,0.1118,2,1,32,0,1,0
0.23,0.11693,2,1,33,0,1,0
0.24,0.12205,2,1,34,0,1,0
0.25,0.12711,2,1,35,0,1,0
0.26,0.13223,2,1,36,0,1,0
0.27,0.13737,2,1,37,0,1,0
0.28,0.14244,2,1,38,0,1,0
0.29,0.14755,2,1,39,0,1,0
0.3,0.15271,2,1,40,0,1,0
0.31,0.15779,2,1,41,0,1,0
0.32,0.1629,2,1,42,0,1,0
0.33,0.16808,2,1,43,0,1,0
0.34,0.17318,2,1,44,0,1,0
0.35,0.17827,2,1,45,0,1,0
0.36,0.18347,2,1,46,0,1,0
0.37,0.1886,2,1,47,0,1,0
0.38,0.19368,2,1,48,0,1,0
0.39,0.19888,2,1,49,0,1,0
0.4,0.20405,2,1,50,0,1,0
0.41,0.20913,2,1,51,0,1,0
0.42,0.21432,2,1,52,0,1,0
0.43,0.21953,2,1,53,0,1,0
0.44,0.22463,2,1,54,0,1,0
0.45,0.2298,2,1,55,0,1,0
0.46,0.23503,2,1,56,0,1,0
0.47,0.24016,2,1,57,0,1,0
0.48,0.24532,2,1,58,0,1,0
0.49,0.25058,2,1,59,0,1,0
0.5,0.25573,2,1,60,0,1,0
0.51,0.26087,2,1,61,0,1,0
0.52,0.26616,2,1,62,0,1,0
0.53,0.27136,2,1,63,0,1,0
0.54,0.27648,2,1,64,0,1,0
0.55,0.28177,2,1,65,0,1,0
0.56,0.28703,2,1,66,0,1,0
0.57,0.29216,2,1,67,0,1,0
0.58,0.29742,2,1,68,0,1,0
0.59,0.30274,2,1,69,0,1,0
0.6,0.30789,2,1,70,0,1,0
0.61,0.31313,2,1,71,0,1,0
0.62,0.31848,2,1,72,0,1,0
